Pos;Ech;Form;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.284479E+00; -0.193692E+04;  0.000000E+00; -0.193664E+04
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.283858E+00; -0.191779E+04;  0.000000E+00; -0.191750E+04
  0.597360E+04;  0.101662E+04;  0.152703E-01;  0.283739E+00; -0.191736E+04;  0.000000E+00; -0.191708E+04
  0.586290E+04;  0.103030E+04;  0.195195E-01;  0.282918E+00; -0.188662E+04;  0.000000E+00; -0.188633E+04
  0.581515E+04;  0.105107E+04;  0.195447E-01;  0.282912E+00; -0.187131E+04;  0.000000E+00; -0.187102E+04
  0.574524E+04;  0.105542E+04;  0.269606E-01;  0.280996E+00; -0.185872E+04;  0.000000E+00; -0.185843E+04
  0.574524E+04;  0.105218E+04;  0.241394E-01;  0.281797E+00; -0.186034E+04;  0.000000E+00; -0.186005E+04
  0.569333E+04;  0.106193E+04;  0.310198E-01;  0.279689E+00; -0.185053E+04;  0.000000E+00; -0.185025E+04
  0.561437E+04;  0.106576E+04;  0.375143E-01;  0.277216E+00; -0.184187E+04;  0.000000E+00; -0.184160E+04
  0.557313E+04;  0.109492E+04;  0.362296E-01;  0.277742E+00; -0.183367E+04;  0.000000E+00; -0.183339E+04
  0.547787E+04;  0.110275E+04;  0.339251E-01;  0.278640E+00; -0.182808E+04;  0.000000E+00; -0.182780E+04
  0.543280E+04;  0.111420E+04;  0.363442E-01;  0.277696E+00; -0.182497E+04;  0.000000E+00; -0.182469E+04
  0.543280E+04;  0.113728E+04;  0.350287E-01;  0.278218E+00; -0.182220E+04;  0.000000E+00; -0.182192E+04
  0.538958E+04;  0.114411E+04;  0.404307E-01;  0.275953E+00; -0.182055E+04;  0.000000E+00; -0.182027E+04
  0.532328E+04;  0.113671E+04;  0.387088E-01;  0.276710E+00; -0.182073E+04;  0.000000E+00; -0.182045E+04
  0.525046E+04;  0.113234E+04;  0.382138E-01;  0.276922E+00; -0.182125E+04;  0.000000E+00; -0.182097E+04
  0.530245E+04;  0.116352E+04;  0.357031E-01;  0.277953E+00; -0.181819E+04;  0.000000E+00; -0.181792E+04
  0.534762E+04;  0.116352E+04;  0.409070E-01;  0.275738E+00; -0.181829E+04;  0.000000E+00; -0.181802E+04
  0.532341E+04;  0.116340E+04;  0.418357E-01;  0.275311E+00; -0.181823E+04;  0.000000E+00; -0.181796E+04
